Bag count,Fixed setup/roast/rest/cool minutes,One-person labor minutes per bag,People assigned,Total planned minutes,Total planned hours,Notes
1,165,40,1,205,3.42,"Fixed time is the SOP oven/rest/cool window; labor scales with washing, panning, peeling, portioning, labeling, and added cleanup."
1,165,40,2,185,3.08,"Two people shorten only the hands-on labor, not the oven/rest/cool clock."
4,165,40,1,325,5.42,"Use one oven-load fixed time if the oven can hold all pans; add another fixed roast/rest/cool block only if a second oven round is needed."
4,165,40,2,245,4.08,"Large runs are mostly limited by peeling and portioning flow, not roasting."
8,165,40,1,485,8.08,"One person carries the full variable labor estimate."
8,165,40,2,325,5.42,"Two people split the variable beet labor estimate."
12,165,40,1,645,10.75,"Plan extra people on peeling/portioning if the elapsed day is too long."
12,165,40,2,405,6.75,"This is the planning shape for a normal shared beet run."
14,165,40,1,725,12.08,"One person on a regular 14-bag run should be expected to take much longer."
14,165,40,2,445,7.42,"Regular 14-bag beet runs with two people should plan around 7h 25m, not 14h."
20,165,40,1,965,16.08,"Roasting should not be multiplied by bag count unless oven capacity forces multiple oven rounds."
20,165,40,2,565,9.42,"Two people affect handling labor only."
24,165,40,1,1125,18.75,"This is the one-person view of the handling work."
24,165,40,2,645,10.75,"This keeps the SOP roast/rest/cool fixed while scaling the handling work by assigned people."
